property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,double_bounce_max,double_bounce_mean,dualpol_max,dualpol_mean,open_water_max,open_water_mean,optical_max,optical_mean,optical_valid_max,optical_valid_mean,subpixel_max,subpixel_mean,vh_z_max,vh_z_mean,z_max,z_mean
22249,HWM 22249,22249,21557,29.8575,-95.62362,2.69,Good: +/- 0.10 ft,Seed line,Riverine,Langham Cr.,2017-09-11T05:00:00,2017-09-11T05:00:00,1,0.0778688524590164,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.292892791407337,1.5293672169189068,7.34405532034021,5.583884608017729
22251,HWM 22251,22251,21558,29.84466,-95.637,2.18,Good: +/- 0.10 ft,Seed line,Riverine,Bear Cr,2017-09-11T05:00:00,2017-09-11T05:00:00,1,0.19999999999999998,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.212311647137611,1.6042135099465327,4.5820904556155355,1.5053057934423757
22252,HWM 22252,22252,21559,29.83113,-95.64628,5.0,Good: +/- 0.10 ft,Seed line,Riverine,Bear Creek,2017-09-11T05:00:00,2017-09-11T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.0846054999665307,0.880953355318674,4.431800010952024,2.7579726015787998
22253,HWM 22253,22253,21560,29.83597,-95.63039,8.4,Good: +/- 0.10 ft,Seed line,Riverine,Langham Cr,2017-09-11T05:00:00,2017-09-11T05:00:00,0,0.0,0,0.0,1,0.015027322404371588,1,0.7377049180327869,1,1,1,0.06420765027322405,1.484073858978843,0.39024959504947465,3.2979787689994486,1.126516481125161
21855,HWM 21855,21855,21336,29.71693,-95.74408,2.73,Fair: +/- 0.20 ft,Stain line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,1,0.36458807464724613,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.295581024725829,-0.5788987772884316,6.84957642322745,3.9989210951637353
21856,HWM 21856,21856,21336,29.71575,-95.74281,1.33,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,1,0.6517979062357762,0,0.0,0,0.0,0,0.0,1,1,0,0.0,5.252265418091937,4.161518350631215,9.25045180203187,7.372802195245622
21859,HWM 21859,21859,21341,29.77655,-95.68803,1.6,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.1978849221963266,1.5448265922346285,5.54905563360677,2.795767430397623
21864,HWM 21864,21864,21341,29.77657,-95.68904,1.52,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,1,0.4661517492049069,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.825859832740294,1.375633122284002,7.586206609910169,5.856485159148594
21865,HWM 21865,21865,21342,29.76068,-95.70302,2.72,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.205741711305491,0.8966306223288726,6.531941758892209,5.303226960225453
21872,HWM 21872,21872,21348,29.79984,-95.69312,5.74,Good: +/- 0.10 ft,Seed line,Riverine,South Mayde Creek,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0.0,1,0.1628012733060482,0,0.0,0,0.0,1,1,1,0.1628012733060482,0.6436096200399046,-1.716983701686532,3.585228437423395,0.704451102821565
21873,HWM 21873,21873,21349,29.80842,-95.67383,5.96,Good: +/- 0.10 ft,Seed line,Riverine,South Mayde Creek,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.287557421449314,1.6116119504412971,5.924064119346411,2.87433247733111
22787,HWM 22787,22787,21881,29.702005,-95.693301,1.52,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,1,0.8714676390154967,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.5379644347930372,1.9087637059967293,7.080760538154773,4.726157191850344
22789,HWM 22789,22789,21881,29.701947,-95.693259,1.76,Good: +/- 0.10 ft,Debris,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,1,0.8381082310140971,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.5379644347930372,1.9763563217813267,6.535228419771551,4.690652713386872
21661,HWM 21661,21661,21192,29.77505,-95.83514,5.12,Fair: +/- 0.20 ft,Vegetation line,Riverine,Willow Fork,2017-09-08T05:00:00,2017-09-08T05:00:00,0,0.0,1,0.001366742596810934,0,0.0,0,0.0,1,1,1,0.22277904328018222,2.9416019163608698,-0.24632342306189026,2.435635052614913,0.14682317555240315
22802,HWM 22802,22802,21889,29.703453,-95.694509,1.66,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,1,1.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,4.703582920608722,2.8742326787087484,7.651171667288509,4.804014853051693
22803,HWM 22803,22803,21889,29.703405,-95.694521,1.62,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,1,1.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,4.703582920608722,2.797206739282183,7.651171667288509,4.870137031952851
22423,HWM 22423,22423,21686,29.94522,-95.65133,2.75,Poor: +/- 0.40 ft,Debris,Riverine,Cypress cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,0.8373116122969092,-2.4616410338215733,4.141410451577361,0.39211824135017026
22424,HWM 22424,22424,21687,29.9522,-95.64955,5.55,Poor: +/- 0.40 ft,Seed line,Riverine,Cypress Cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,1,0.17296313154301318,4.203831769548982,1.5098901751504359,2.666817175012679,0.21189921247866705
22427,HWM 22427,22427,21691,29.99092,-95.65353,5.3,Poor: +/- 0.40 ft,Debris,Riverine,Little Cypress Cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,1.6524366320826742,0.27311738756853726,4.416778982637946,3.2845182113975864
22019,HWM 22019,22019,21415,29.82303,-95.74633,1.95,Poor: +/- 0.40 ft,Debris,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0.0,1,0.321330902461258,0,0.0,0,0.0,1,1,1,0.321330902461258,1.0578330153823507,-1.8128416799666387,6.48131208810187,-0.3764889719379198
29143,HWM 29143,29143,25061,29.846791,-95.605332,1.8,Excellent: +/- 0.05 ft,Mud,Riverine,Lakes on Eldridge,2017-08-30T05:00:00,2018-05-15T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.2307546132300535,0.706416988779375,3.0140284455735795,1.5799867876753937
29144,HWM 29144,29144,25062,29.847128,-95.59905,3.5,Fair: +/- 0.20 ft,Mud,Riverine,Lakes on Eldridge,2017-08-30T05:00:00,2018-05-15T05:00:00,1,0.001366120218579235,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.6444635223206414,1.9991247305159094,4.113546538907582,1.7297047226228395
29156,HWM 29156,29156,25062,29.847128,-95.59905,1.5,Good: +/- 0.10 ft,Seed line,Riverine,Lakes on Eldridge,2017-08-30T05:00:00,2018-05-15T05:00:00,1,0.001366120218579235,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.6444635223206414,1.9991247305159094,4.113546538907582,1.7297047226228395
29146,HWM 29146,29146,25064,29.863403,-95.621546,1.8,Fair: +/- 0.20 ft,Seed line,Riverine,Horsepen Creek,2017-08-30T05:00:00,2018-05-15T05:00:00,1,0.03735763097949886,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.12421355692219,0.7406141524106794,6.025893888918235,3.7558249380479882
33196,HWM 33196,33196,26212,29.77339,-95.640122,2.5,Unknown/Historical,Other,Riverine,Buffalo Bayou,2018-06-20T05:00:00,2018-06-20T05:00:00,1,0.4443938012762078,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.598155542077867,1.680640618475666,6.716242603678748,3.221763509539328
33271,HWM 33271,33271,26220,29.7680811,-95.5829731,1.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.82759437310381,2.2014481169232454,2.423188309916627,1.524902111736229
33272,HWM 33272,33272,26220,29.7680811,-95.5829731,1.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.82759437310381,2.2014481169232454,2.423188309916627,1.524902111736229
33273,HWM 33273,33273,26221,29.7663126,-95.5741365,2.4,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.39292514532202,1.5644460167457315,3.4332322808807034,2.1045810872812436
33278,HWM 33278,33278,26224,29.76415,-95.56605,4.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-29T05:00:00,2018-06-29T05:00:00,1,0.6956719817767654,0,0.0,0,0.0,0,0.0,1,1,0,0.0,4.05932753791292,2.5651249285939337,7.348399538896191,4.437048643172546
33279,HWM 33279,33279,26224,29.76415,-95.56605,4.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-29T05:00:00,2018-06-29T05:00:00,1,0.6956719817767654,0,0.0,0,0.0,0,0.0,1,1,0,0.0,4.05932753791292,2.5651249285939337,7.348399538896191,4.437048643172546
33274,HWM 33274,33274,26222,29.76553113,-95.57129525,2.5,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.1146253611103805,1.0452391595150632,5.44498957815053,3.9468057106965344
33275,HWM 33275,33275,26222,29.76553113,-95.57129525,2.5,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,2.1146253611103805,1.0452391595150632,5.44498957815053,3.9468057106965344
33282,HWM 33282,33282,26226,29.76845,-95.6418,4.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-22T05:00:00,2108-06-22T05:00:00,0,0.0,0,0.0,0,0.0,1,0.1899136756019991,1,1,0,0.0,2.360960787620059,1.4654579381222306,6.4749209636481195,3.220962264840639
33277,HWM 33277,33277,26223,29.7642223,-95.5687656,2.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,1,0.04961310878470642,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.732221612058635,2.81435656325554,4.496000049322763,1.3098679897331937
33276,HWM 33276,33276,26223,29.7642223,-95.5687656,2.0,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-21T05:00:00,2018-06-21T05:00:00,1,0.04961310878470642,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.732221612058635,2.81435656325554,4.496000049322763,1.3098679897331937
33299,HWM 33299,33299,26229,29.77133324,-95.62964572,1.5,Fair: +/- 0.20 ft,Other,Riverine,Buffalo Bayou,2018-06-22T05:00:00,2018-06-22T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,3.1609189718898456,2.0147601714584407,4.5477215560118545,1.892550804122583
29194,HWM 29194,29194,25083,29.710604,-95.729922,3.5,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-08-30T05:00:00,2018-05-15T05:00:00,1,1.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,4.567249914803446,0.17424286334374775,10.198243306791499,8.134657970615077
33444,HWM 33444,33444,26443,29.8063423,-95.6888667,2.07,Fair: +/- 0.20 ft,Debris,Coastal,Gulf of America,2018-07-14T05:00:00,2018-07-14T05:00:00,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0.0,1.634125177917205,0.6224950153787256,2.7892881091411956,1.3492058668712832
