property_id,address,latitude,longitude,pct_flooded,max_depth_ft
IAN-00264,"226 Seasons Drive, Punta Gorda, FL, 33983",27.025553,-82.007367,0.011,9.84
IAN-00265,"225 Seasons Drive, Punta Gorda, FL, 33983",27.025518,-82.007937,0.0089,9.84
IAN-00266,"218 Seasons Drive, Punta Gorda, FL, 33983",27.025774,-82.007413,0.0,0.0
IAN-00267,"217 Seasons Drive, Punta Gorda, FL, 33983",27.025742,-82.007956,0.0,0.0
IAN-00268,"1225 Rutledge St, North Port, FL, 34288",27.032797,-82.069773,0.0791,0.0
IAN-00269,"806 Kings Highway, Port Charlotte, FL",27.01773,-82.048414,0.0,0.0
IAN-00270,"1941 Tamiami Trail, Port Charlotte, FL, 33948",27.003714,-82.130655,0.0,0.0
IAN-00271,"2386 Beacon Drive, Port Charlotte, FL, 33952",26.992135,-82.073251,0.0,0.0
IAN-00272,"2394 Beacon Drive, Port Charlotte, FL, 33952",26.991963,-82.073481,0.0,0.0
IAN-00273,"2377 Beacon Drive, Port Charlotte, FL, 33952",26.992604,-82.073504,0.0,0.0
IAN-00274,"2411 Aquilos Court, Port Charlotte, FL, 33952",26.992841,-82.07403,0.0,0.0
