fd_id,occtype,st_damcat,found_ht,found_type,num_story,sqft,ftprntsqft,val_struct,val_cont,ground_elv,med_yr_blt,firmzone,bldheight,usastrucid,cbfips,longitude,latitude,truth_flooded,property_id,address,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_available,dpol_water,db_available,double_bounce,vh_available,vh_water_pct,rain_mm,ndvi_valid,ndvi_delta,near_water_flag,flood_s0,flood_s1,flood_s2
122476040,RES1-2SNB,RES,0.75,S,2,2535.0,3401,597068.9999256991,298534.49996284954,84.24654,2010,X,6.17,,481576734011019,-95.749741284446,29.591167247015,1.0,s2465,s2465,0.0,0.0,1,1,0.0,0.0,8.889,5.05,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122640801,RES1-1SNB,RES,0.75,S,1,1512.0,1512,419748.452412,209874.226206,75.18805,2002,X,5.72,,481576746023022,-95.65155315334,29.531909957228,0.0,s2466,s2466,0.0,0.0,0,1,0.0,0.0,9.048,11.27,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122475451,RES1-2SNB,RES,0.75,S,2,2909.0,2150,619133.8429722567,309566.92148612835,85.5739,1992,X,5.15,,481576735022003,-95.741067554921,29.637803944149,0.0,s2467,s2467,0.0,0.0,1,1,0.0,0.0,4.643,7.22,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122713826,RES1-2SNB,RES,0.75,S,2,5474.0,4613,1129797.8040165151,564898.9020082576,72.62395,1993,X,6.75,,481576742004004,-95.618302644398,29.566522339786,0.0,s2468,s2468,0.0,0.0,1,1,0.0,0.0,9.743,3.25,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122591233,RES1-1SNB,RES,2.0,C,1,976.0,748,90158.7258,45079.3629,100.439095,1981,X,3.35,,481576752002013,-95.800499934543,29.556377019772,0.0,s2469,s2469,0.0,0.0,1,1,0.0,0.0,0.95,10.86,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122459541,RES1-1SNB,RES,0.75,S,1,1800.0,2377,282085.7641172375,141042.88205861874,74.24966,1994,X,5.18,,481576738011000,-95.687632460932,29.586801689205,1.0,s2470,s2470,0.0,0.0,1,1,0.0,0.0,16.047,5.21,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122448767,RES1-1SNB,RES,0.75,S,1,2295.0,3017,624335.2004722315,312167.60023611574,70.02544,2002,X,4.63,,481576746022003,-95.655879812787,29.558579069813,1.0,s2471,s2471,0.0,0.0,1,1,0.0,0.0,16.643,2.28,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122575563,RES1-2SNB,RES,0.75,S,2,3032.0,2981,760663.5679908522,380331.7839954261,74.70545,2009,X,0.0,37540842,481576739023027,-95.659067166922,29.597111125766,0.0,s2472,s2472,0.0,0.0,1,1,0.0,0.0,2.186,4.57,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122474938,RES1-1SWB,RES,2.0,B,1,3051.0,3876,874568.3571787061,437284.17858935305,84.76261,1992,X,5.8,,481576735022007,-95.739694026808,29.636412934785,0.0,s2473,s2473,0.0,0.0,1,1,0.0,0.0,2.776,4.44,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
122524013,RES1-1SNB,RES,0.75,S,1,2684.0,3327,733143.9809271115,366571.99046355573,77.32087,2002,X,0.96,,481576746023026,-95.67682331953,29.540684862833,0.0,s2474,s2474,0.0,0.0,0,1,0.0,0.0,21.519,7.29,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,
