property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_available,dpol_water,db_available,double_bounce,vh_available,vh_water_pct,rain_mm,ndvi_valid,ndvi_delta,near_water_flag,flood_s0,flood_s1,flood_s2,sample_radius_m
22253,HWM 22253,22253,21560,29.83597,-95.63039,8.4,Good: +/- 0.10 ft,Seed line,Riverine,Langham Cr,2017-09-11T05:00:00,2017-09-11T05:00:00,0.015,0.2,0,1,0.7377,0.016,3.345,10.23,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21855,HWM 21855,21855,21336,29.71693,-95.74408,2.73,Fair: +/- 0.20 ft,Stain line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,1,1,0.0,0.0,4.112,5.13,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21856,HWM 21856,21856,21336,29.71575,-95.74281,1.33,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,1,1,0.0,0.0,9.272,15.6,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21859,HWM 21859,21859,21341,29.77655,-95.68803,1.6,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,0,1,0.0,0.0,12.471,33.91,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21864,HWM 21864,21864,21341,29.77657,-95.68904,1.52,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,1,1,0.0,0.0,13.323,16.9,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21865,HWM 21865,21865,21342,29.76068,-95.70302,2.72,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,1,1,0.0,0.0,6.121,31.8,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21872,HWM 21872,21872,21348,29.79984,-95.69312,5.74,Good: +/- 0.10 ft,Seed line,Riverine,South Mayde Creek,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,0,1,0.0,0.0,5.066,4.21,0.0,1,0.0613,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21873,HWM 21873,21873,21349,29.80842,-95.67383,5.96,Good: +/- 0.10 ft,Seed line,Riverine,South Mayde Creek,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,0,1,0.0,0.0,6.66,14.0,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22787,HWM 22787,22787,21881,29.702005,-95.693301,1.52,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0.0,0.0,1,1,0.0,0.0,2.262,5.45,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22789,HWM 22789,22789,21881,29.701947,-95.693259,1.76,Good: +/- 0.10 ft,Debris,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0.0,0.0,1,1,0.0,0.0,2.267,5.45,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21661,HWM 21661,21661,21192,29.77505,-95.83514,5.12,Fair: +/- 0.20 ft,Vegetation line,Riverine,Willow Fork,2017-09-08T05:00:00,2017-09-08T05:00:00,0.0,0.0,0,1,0.0,0.0,10.691,1.88,0.0,1,0.0004,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22802,HWM 22802,22802,21889,29.703453,-95.694509,1.66,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0.0,0.0,1,1,0.0,0.0,10.693,6.58,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22803,HWM 22803,22803,21889,29.703405,-95.694521,1.62,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0.0,0.0,1,1,0.0,0.0,10.304,6.55,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22423,HWM 22423,22423,21686,29.94522,-95.65133,2.75,Poor: +/- 0.40 ft,Debris,Riverine,Cypress cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0.0,0.0,0,1,0.0,0.0,9.775,3.07,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22424,HWM 22424,22424,21687,29.9522,-95.64955,5.55,Poor: +/- 0.40 ft,Seed line,Riverine,Cypress Cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0.0,0.0,0,1,0.0,0.0,13.54,5.1,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22427,HWM 22427,22427,21691,29.99092,-95.65353,5.3,Poor: +/- 0.40 ft,Debris,Riverine,Little Cypress Cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0.0,0.0,0,1,0.0,0.0,14.105,5.11,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22019,HWM 22019,22019,21415,29.82303,-95.74633,1.95,Poor: +/- 0.40 ft,Debris,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0.0,0.0,0,1,0.0,0.0,17.408,4.45,0.0,1,0.1538,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
29143,HWM 29143,29143,25061,29.846791,-95.605332,1.8,Excellent: +/- 0.05 ft,Mud,Riverine,Lakes on Eldridge,2017-08-30T05:00:00,2018-05-15T05:00:00,0.0,0.0,1,1,0.0,0.0,9.167,3.94,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,1,,,,50
