property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
HARV-00370,"6100 Corporate Drive, Houston, TX, 77036-3590",29.711385,-95.552606,0.0,0.0,1,1,0.0,0.0,3.913,1,0.0,0.0,0.0
HARV-00371,4615 Southwest Freeway,29.729205,-95.452671,0.0,0.0,1,1,0.0,0.0,8.363,1,0.0,0.0,0.0
HARV-00372,4635 Southwest Freeway,29.729218,-95.453583,0.0,0.0,1,1,0.0,0.0,6.734,1,0.0,0.0,0.0
HARV-00373,4625 Southwest Freeway,29.729199,-95.453208,0.0,0.0,1,1,0.0,0.0,7.187,1,0.0,0.0,0.0
HARV-00374,"10005 Main Street, TX",29.676144,-95.426869,0.0,0.0,1,1,0.0,0.0,4.038,1,0.0,0.0,0.0
HARV-00375,"10001 Westheimer Road, Houston, TX, 77042",29.736187,-95.54889,0.0,0.0,1,1,0.0,0.0,2.472,1,0.0,0.0,0.0
HARV-00376,"8200 Main Street, Houston, TX, 77025",29.692589,-95.416428,0.0,0.0,1,1,0.0,0.0,5.723,1,0.0,0.0,0.0
HARV-00377,14925 Main Street,29.627932,-95.511794,0.0,0.0,1,1,0.0,0.0,6.863,1,0.0,0.0,0.0
HARV-00378,"10807 South Post Oak Road, Houston",29.663522,-95.463402,0.0,0.0,1,1,0.0,0.0,13.982,1,0.0,0.0,0.0
HARV-00379,"5156 Buffalo Speedway, Houston, TX, 77005",29.726874,-95.429654,0.0,0.0,1,1,0.0,0.0,3.744,1,0.0,0.0,0.0
HARV-00380,"2519 Skyview Point Drive, 77047",29.624506,-95.38332,0.0,0.0,1,1,0.0,0.0,9.755,1,0.0,0.0,0.0
HARV-00381,"5215 Kirby Drive, Houston, TX",29.725687,-95.418248,0.0,0.0,1,1,0.0,0.0,2.832,1,0.0,0.0,0.0
HARV-00382,"1971 West Gray Street, Houston, TX, 77019",29.752752,-95.40726,0.0,0.0,1,1,0.0,0.0,1.546,1,0.0,0.0,0.0
HARV-00383,"1987 West Gray Street, Houston, TX, 77019",29.752667,-95.407869,0.0,0.0,1,1,0.0,0.0,1.252,1,0.0,0.0,0.0
HARV-00384,"1977 West Gray Street, Houston, TX",29.752749,-95.407637,0.0,0.0,1,1,0.0,0.0,1.246,1,0.0,0.0,0.0
HARV-00385,"1962 West Gray Street, Houston, TX, 77019",29.753412,-95.407349,0.0,0.0,1,1,0.0,0.0,2.069,1,0.0,0.0,0.0
HARV-00386,"2001 West Gray Street, Houston, TX, 77019",29.752739,-95.408709,0.0,0.0,1,1,0.0,0.0,1.861,1,0.0,0.0,0.0
HARV-00387,"3130 Quenby Street, West University Place",29.721737,-95.427503,0.0,0.0,1,1,0.0,0.0,1.926,1,0.0,0.0,0.0
HARV-00388,3122 Underwood Street,29.699955,-95.427085,0.0,0.0,1,1,0.0,0.0,14.424,1,0.0,0.0,0.0
HARV-00389,"3151 West Holcombe Boulevard, Houston, TX, 77025",29.704855,-95.426826,0.0,0.0,1,1,0.0,0.0,10.281,1,0.0,0.0,0.0
HARV-00390,"5311 Kirby Drive, Houston, TX",29.724827,-95.418213,0.0,0.0,1,1,0.0,0.0,2.644,1,0.0,0.0,0.0
HARV-00391,"2202 West Alabama Street, Houston, TX, 77098",29.738867,-95.413419,0.0,0.0,1,1,0.0,0.0,3.164,1,0.0,0.0,0.0
HARV-00392,"5147 South Braeswood Boulevard, Houston, TX",29.677318,-95.471311,0.0,0.0,1,1,0.0,0.0,21.97,1,0.0,0.0,0.0
